name,rating,number_of_photos,message,name_clean,name_length,rating_clean,rating_length,number_of_photos_clean,number_of_photos_length,message_clean,message_length
Eneida FAR,,984.0,5 anos atrás Atendimento excelente e doces zero calorias deliciosos. Recomendo o mousse de chocolate.  /,eneida far,10,nan,3,984.0,5,5 anos atrás atendimento excelente e doces zero calorias deliciosos. recomendo o mousse de chocolate. /,103
Katia Fernandes,,34.0,"7 anos atrás Produtos de primeira, atendimento atencioso e pessoal bem treinado. Café perfeito!  /",katia fernandes,15,nan,3,34.0,4,"7 anos atrás produtos de primeira, atendimento atencioso e pessoal bem treinado. café perfeito! /",97
Regina Lima,,2449.0,"7 anos atrás Estive a pouco na Ofner da Rua Caiubi, São Paulo SP. Atendimento excelente. Eclair de creme maravilhosa. Recomendo.  /",regina lima,11,nan,3,2449.0,6,"7 anos atrás estive a pouco na ofner da rua caiubi, são paulo sp. atendimento excelente. eclair de creme maravilhosa. recomendo. /",130
Nilton Lourenço,,,6 anos atrás Local extremamente agradável ! ótimos doces chocolates e cafés ! vale a visita !  /,nilton lourenço,15,nan,3,nan,3,6 anos atrás local extremamente agradável ! ótimos doces chocolates e cafés ! vale a visita ! /,95
thais lazarini,,,9 anos atrás Lugar eh bom.. mas faltam atendentes... 10 min para ser atendido e mais 10 para ser servido...  /,thais lazarini,14,nan,3,nan,3,9 anos atrás lugar eh bom.. mas faltam atendentes... 10 min para ser atendido e mais 10 para ser servido... /,109
Maria Aparecida Zuliani Rodrigues,,,7 anos atrás Maravilhosa! Salgados muito bons. Especialmente a empada de palmito. O chocolate quente é demais!  /,maria aparecida zuliani rodrigues,33,nan,3,nan,3,7 anos atrás maravilhosa! salgados muito bons. especialmente a empada de palmito. o chocolate quente é demais! /,112
rachel filogonio,,31.0,"7 anos atrás Bem gostoso o local, mas um inconveniente para o frio é que as mesas ficam no lado de fora.  /",rachel filogonio,16,nan,3,31.0,4,"7 anos atrás bem gostoso o local, mas um inconveniente para o frio é que as mesas ficam no lado de fora. /",106
Regina P,,,7 anos atrás A minha experiência foi excelente lugar limpo funcionários muito atenciosos cordiais e gentis. Super recomendo!!  /,regina p,8,nan,3,nan,3,7 anos atrás a minha experiência foi excelente lugar limpo funcionários muito atenciosos cordiais e gentis. super recomendo!! /,127
Gizele Teixeira,,3.0,3 anos atrás Acho q já avaliei uma outra vez mais vou avaliar novamente pq não melhoram o atendimento péssimo prestado 🙏3  /,gizele teixeira,15,nan,3,3.0,3,3 anos atrás acho q já avaliei uma outra vez mais vou avaliar novamente pq não melhoram o atendimento péssimo prestado 🙏3 /,123
André menani,,,4 anos atrás Ótimo atendimento salgados e doces maravilhosos vale a pena a visita. 🙏1  /,andré menani,12,nan,3,nan,3,4 anos atrás ótimo atendimento salgados e doces maravilhosos vale a pena a visita. 🙏1 /,87
Manuela Pugliesi,,,"·1 foto 8 anos atrás Como toda loja da ofner, os produtos são bem caros. Porém, a localização e a disposição dessa em especial são agradáveis.  /",manuela pugliesi,16,nan,3,nan,3,"·1 foto 8 anos atrás como toda loja da ofner, os produtos são bem caros. porém, a localização e a disposição dessa em especial são agradáveis. /",144
Elize Higuti,,221.0,"2 anos atrás Encontro com amigas! Lugar maravilhoso! Custo alto, mas muito bom!  /",elize higuti,12,nan,3,221.0,5,"2 anos atrás encontro com amigas! lugar maravilhoso! custo alto, mas muito bom! /",81
Emilio Marchi,,,"4 anos atrás É um bom lugar , precisa evoluir na organização da fila de para escolha e pedidos...",emilio marchi,13,nan,3,nan,3,"4 anos atrás é um bom lugar , precisa evoluir na organização da fila de para escolha e pedidos...",97
Danilo Ap,,4.0,4 anos atrás Bolos e café uma delícia apesar de ter preço um pouco salgado tem qualidade,danilo ap,9,nan,3,4.0,3,4 anos atrás bolos e café uma delícia apesar de ter preço um pouco salgado tem qualidade,88
Gisley Vitor,,,"8 anos atrás Local agradável, varias mesas, os doces são incríveis, recomendo a empada de frango  /",gisley vitor,12,nan,3,nan,3,"8 anos atrás local agradável, varias mesas, os doces são incríveis, recomendo a empada de frango /",98
Paulo Neustein,,13.0,6 anos atrás Ótimo atendimento mas os salgados são realmente muito pequenos.  /,paulo neustein,14,nan,3,13.0,4,6 anos atrás ótimo atendimento mas os salgados são realmente muito pequenos. /,78
maryan David,,19.0,"5 anos atrás Ótimo atendimento, pessoas muito atenciosas e o capricho como embalam ficam mais atrativos.",maryan david,12,nan,3,19.0,4,"5 anos atrás ótimo atendimento, pessoas muito atenciosas e o capricho como embalam ficam mais atrativos.",104
Thatiane Souza,,,·1 foto 11 anos atrás Adorei os doces nesse lugar ... Super gostoso pra curtir num fim d tarde  /,thatiane souza,14,nan,3,nan,3,·1 foto 11 anos atrás adorei os doces nesse lugar ... super gostoso pra curtir num fim d tarde /,96
Jorge Yang,,3352.0,"7 anos atrás Legal cafeteria, só que como as mesas são ambiente aberta, na chuva ou inverno, sente muito...🤣  /",jorge yang,10,nan,3,3352.0,6,"7 anos atrás legal cafeteria, só que como as mesas são ambiente aberta, na chuva ou inverno, sente muito...🤣 /",110
Regina Célia Vicentim Bielovic,,21.0,"7 anos atrás Para quem procura um cafezinho mais tarde , essa é uma das poucas opções. Muito bom  /",regina célia vicentim bielovic,30,nan,3,21.0,4,"7 anos atrás para quem procura um cafezinho mais tarde , essa é uma das poucas opções. muito bom /",98
Guilherme Estanislau Amaral,,,5 anos atrás Comida espetaculara mas cara. Seus bolos são insuperáveis. Recomendo.,guilherme estanislau amaral,27,nan,3,nan,3,5 anos atrás comida espetaculara mas cara. seus bolos são insuperáveis. recomendo.,82
Franco Martins,,60.0,"8 anos atrás Café caro, poucas opções de salgado. Atendimento razoável. Sem estacionamento.  /",franco martins,14,nan,3,60.0,4,"8 anos atrás café caro, poucas opções de salgado. atendimento razoável. sem estacionamento. /",93
Carlos Correa,,,4 anos atrás Pessoal mal treinado e grosseiro em especial uma funcionária . Sugiro melhorar treinamento da equipe sobre atendimento  /,carlos correa,13,nan,3,nan,3,4 anos atrás pessoal mal treinado e grosseiro em especial uma funcionária . sugiro melhorar treinamento da equipe sobre atendimento /,133
Maria Paula,,66.0,"8 anos atrás Um clássico da cidade com seus salgados, doces, chocolates e sorvetes deliciosos e de ótima qualidade  /",maria paula,11,nan,3,66.0,4,"8 anos atrás um clássico da cidade com seus salgados, doces, chocolates e sorvetes deliciosos e de ótima qualidade /",116
Monica Cipriano,,523.0,"6 anos atrás Melhor café, melhor coxinha, um doce mais gostoso que outro, ideal pra encontro com amigos. 🙏2  /",monica cipriano,15,nan,3,523.0,5,"6 anos atrás melhor café, melhor coxinha, um doce mais gostoso que outro, ideal pra encontro com amigos. 🙏2 /",109
Carlos Valsani,,16.0,5 anos atrás Top.... padrão Ofner de ser ... produtos excelentes e atendimento impecável.  /,carlos valsani,14,nan,3,16.0,4,5 anos atrás top.... padrão ofner de ser ... produtos excelentes e atendimento impecável. /,91
leonardo varella,,31.0,"Editado 3 anos atrás Os preços são extremamente altos, porém pela qualidade dos produtos e do atendimento, vale o preço.",leonardo varella,16,nan,3,31.0,4,"editado 3 anos atrás os preços são extremamente altos, porém pela qualidade dos produtos e do atendimento, vale o preço.",120
Heloisa Toniolo,,,·1 foto 6 anos atrás Bons doces e salgados mas o atendimento na loja da rua Caiubi em Perdizes é horrível.  /,heloisa toniolo,15,nan,3,nan,3,·1 foto 6 anos atrás bons doces e salgados mas o atendimento na loja da rua caiubi em perdizes é horrível. /,108
Maria Rita Felippe Oliveira,,48.0,"4 anos atrás Ótima confeitaria tudo de qualidade, atendimento muito bom também",maria rita felippe oliveira,27,nan,3,48.0,4,"4 anos atrás ótima confeitaria tudo de qualidade, atendimento muito bom também",78
Elizabeth Regina Tadeu Peta Correa,,2.0,4 anos atrás Excelente!Sou cliente há anos; só é muito caro.  /,elizabeth regina tadeu peta correa,34,nan,3,2.0,3,4 anos atrás excelente!sou cliente há anos; só é muito caro. /,62
Deise Schwartz,,1499.0,"7 anos atrás Uma maravilha, o atendimento às vezes demora por excesso de clientes todos os dias e praticamente todos horários.  /",deise schwartz,14,nan,3,1499.0,6,"7 anos atrás uma maravilha, o atendimento às vezes demora por excesso de clientes todos os dias e praticamente todos horários. /",128
Anita Kons da Silveira,,52.0,5 anos atrás Sempre há um doce maravilhoso para te deixar feliz. Aproveite! Não haverá arrependimento! 🙏1,anita kons da silveira,22,nan,3,52.0,4,5 anos atrás sempre há um doce maravilhoso para te deixar feliz. aproveite! não haverá arrependimento! 🙏1,105
Rafael Gonzalez,,88.0,Editado um ano atrás Local está fechado para reforma. Ficará fechado por aproximadamente 2 meses. 🙏1  /,rafael gonzalez,15,nan,3,88.0,4,editado um ano atrás local está fechado para reforma. ficará fechado por aproximadamente 2 meses. 🙏1 /,102
Wladimir Donatto,,1305.0,6 anos atrás Lugar legal para tô.ar um bom café e ficar sentado nas mesinhas observando a rua.....  /,wladimir donatto,16,nan,3,1305.0,6,6 anos atrás lugar legal para tô.ar um bom café e ficar sentado nas mesinhas observando a rua..... /,100
Angela Cardoso,,106.0,"2 anos atrás O ambiente é bom , o atendimento também é os preços são mepiores também  /  Roberto Dignola Local Guide·1.057 avaliações·2123 fotos Editado 8 anos atrás Tradição e qualidade! Deliciosos doces e o atendimento é muito bom.  /",angela cardoso,14,nan,3,106.0,5,"2 anos atrás o ambiente é bom , o atendimento também é os preços são mepiores também / roberto dignola local guide·1.057 avaliações·2123 fotos editado 8 anos atrás tradição e qualidade! deliciosos doces e o atendimento é muito bom. /",233
Celia Beghine Barrionuevo,,17.0,7 anos atrás Maravilhoso um show. de bom doces mto bom lugar aconchegante gostei mto quero voltar .  /,celia beghine barrionuevo,25,nan,3,17.0,4,7 anos atrás maravilhoso um show. de bom doces mto bom lugar aconchegante gostei mto quero voltar . /,101
Tabata Oliveira,,51.0,4 anos atrás Todas as sobremesas maravilhosas! Destaque para o sorvete de Pistache e o de chocate Belga.,tabata oliveira,15,nan,3,51.0,4,4 anos atrás todas as sobremesas maravilhosas! destaque para o sorvete de pistache e o de chocate belga.,104
RedBullBragaConservador,,,"4 anos atrás Atendimento, lugar e doces espetaculares Parece que se está em outro país.",redbullbragaconservador,23,nan,3,nan,3,"4 anos atrás atendimento, lugar e doces espetaculares parece que se está em outro país.",87
Juliana Boscardin,,535.0,"9 anos atrás Lugar com poucas mesas, mas melhores salgados e doces. Não é barato!  /",juliana boscardin,17,nan,3,535.0,5,"9 anos atrás lugar com poucas mesas, mas melhores salgados e doces. não é barato! /",83
Guilherme Conte,,,"7 anos atrás Doce top e pra ricos. Fique de olho na sua conta, eles imbutem coisas a mais que vc não consumiu 🙏1  /",guilherme conte,15,nan,3,nan,3,"7 anos atrás doce top e pra ricos. fique de olho na sua conta, eles imbutem coisas a mais que vc não consumiu 🙏1 /",114
Lina Rufino,,,7 anos atrás Lugar é bom . Atendimento tb muito bom . Mas o brigadeiro é horrivel e caro.  /,lina rufino,11,nan,3,nan,3,7 anos atrás lugar é bom . atendimento tb muito bom . mas o brigadeiro é horrivel e caro. /,91
Monika Frentzel Hacker,,103.0,6 anos atrás Adoramos as empadas e os doces. Preço um pouco elevado mas com qualidade.  /,monika frentzel hacker,22,nan,3,103.0,5,6 anos atrás adoramos as empadas e os doces. preço um pouco elevado mas com qualidade. /,88
Wander Rovere,,136.0,7 anos atrás Preço caro porém ótimo atendimento e produtos de alta qualidade. Recomendo!  /,wander rovere,13,nan,3,136.0,5,7 anos atrás preço caro porém ótimo atendimento e produtos de alta qualidade. recomendo! /,90
Larissa Furlan,,,"3 anos atrás Péssimo atendimento, esquecem os pedidos, demora ao atender a mesa..... não recomendo.  /",larissa furlan,14,nan,3,nan,3,"3 anos atrás péssimo atendimento, esquecem os pedidos, demora ao atender a mesa..... não recomendo. /",101
Renata Camargo,,1453.0,8 anos atrás Salgados e doces de qualidade. Ambiente calmo e propício também para um café.  /,renata camargo,14,nan,3,1453.0,6,8 anos atrás salgados e doces de qualidade. ambiente calmo e propício também para um café. /,92
Manoel Santos Corretor de Imóveis,,33.0,"5 anos atrás Muito bom, Belo ambiente tem boas opçoes de cafés",manoel santos corretor de imóveis,33,nan,3,33.0,4,"5 anos atrás muito bom, belo ambiente tem boas opçoes de cafés",62
Isidro Nunes,,127.0,"4 anos atrás Produtos ótimos, mas precisa melhorar o fluxo da loja, principalmente o caixa",isidro nunes,12,nan,3,127.0,5,"4 anos atrás produtos ótimos, mas precisa melhorar o fluxo da loja, principalmente o caixa",90
MARINA BOEMER FABBRI,,,"7 anos atrás Maravilhoso , como sempre . Não tem um Mil Folhas melhor que este . Adooooooro . Parabéns a Ofner . Qualidade mil.  /",marina boemer fabbri,20,nan,3,nan,3,"7 anos atrás maravilhoso , como sempre . não tem um mil folhas melhor que este . adooooooro . parabéns a ofner . qualidade mil. /",129
Luiz Fernando Sallum,,,2 anos atrás Lugar muito gostoso e agradável. Capuccino sensacional  /,luiz fernando sallum,20,nan,3,nan,3,2 anos atrás lugar muito gostoso e agradável. capuccino sensacional /,69
Carlos Bezerra,,288.0,4 anos atrás Muito bom  /,carlos bezerra,14,nan,3,288.0,5,4 anos atrás muito bom /,24
Maurício Tokuno,,180.0,"8 anos atrás Tudo gostoso, mas acho caro pelo tamanho /qualidade.  /",maurício tokuno,15,nan,3,180.0,5,"8 anos atrás tudo gostoso, mas acho caro pelo tamanho /qualidade. /",67
Marcio Chicca,,2.0,Editado um ano atrás Produtos e atendimento excelentes! Porém fechou!  /,marcio chicca,13,nan,3,2.0,3,editado um ano atrás produtos e atendimento excelentes! porém fechou! /,71
Ailton Marques,,595.0,8 anos atrás Muito bom! Qualidade Ofner. Pena que está sempre cheio :/  /,ailton marques,14,nan,3,595.0,5,8 anos atrás muito bom! qualidade ofner. pena que está sempre cheio :/ /,72
Suzana Lara,,27.0,"4 anos atrás O café estava excelente, mas demorou para ser servido.  /",suzana lara,11,nan,3,27.0,4,"4 anos atrás o café estava excelente, mas demorou para ser servido. /",69
Fernanda Avila,,5.0,"5 anos atrás Tome um café e fique relax! E, vc ainda, pode ter a sorte de ser atendida pela Francisca! 🥰  /",fernanda avila,14,nan,3,5.0,3,"5 anos atrás tome um café e fique relax! e, vc ainda, pode ter a sorte de ser atendida pela francisca! 🥰 /",106
Dirley Lobo,,,"3 anos atrás Maravilhoso atendimento! Gostei luito das opções Diet, parabéns  /",dirley lobo,11,nan,3,nan,3,"3 anos atrás maravilhoso atendimento! gostei luito das opções diet, parabéns /",78
Juli Hayne,,89.0,"5 anos atrás Doces maravilhosos e o ambiente é bem gostoso também. Porém, bem caro.",juli hayne,10,nan,3,89.0,4,"5 anos atrás doces maravilhosos e o ambiente é bem gostoso também. porém, bem caro.",83
Walmir Dias,,176.0,"4 anos atrás Essa Ofner deixou a desejar, mas adoro muito a Ofner, produtos de altíssima qualidade sempre.",walmir dias,11,nan,3,176.0,5,"4 anos atrás essa ofner deixou a desejar, mas adoro muito a ofner, produtos de altíssima qualidade sempre.",106
Leonardo Trevas,,42.0,7 anos atrás Peça a empada de frango e o café. Lugar agradável e ambiente ótimo para um date. É caro.  /,leonardo trevas,15,nan,3,42.0,4,7 anos atrás peça a empada de frango e o café. lugar agradável e ambiente ótimo para um date. é caro. /,103
Silvia Campos,,,"5 anos atrás Ótima, atendimento muito bom. Limpo. Mesas para fora para café.",silvia campos,13,nan,3,nan,3,"5 anos atrás ótima, atendimento muito bom. limpo. mesas para fora para café.",76
Marco Vac Jr Vac,,,um ano atrás Tudo é sempre muito demorado O atendimento é pessimo  /,marco vac jr vac,16,nan,3,nan,3,um ano atrás tudo é sempre muito demorado o atendimento é pessimo /,67
Taise Andrade,,,"·1 foto um ano atrás Lugar aconchegante, tranquilo e ótimas opções funcionários educados e prestativos  /",taise andrade,13,nan,3,nan,3,"·1 foto um ano atrás lugar aconchegante, tranquilo e ótimas opções funcionários educados e prestativos /",104
Silvia Gomes,,,"5 anos atrás Adoro tudo da Ofner!! Doces, salgados e bebidas!! Vale a pena conferir.  /",silvia gomes,12,nan,3,nan,3,"5 anos atrás adoro tudo da ofner!! doces, salgados e bebidas!! vale a pena conferir. /",86
M. G.,,11095.0,"6 anos atrás Atendimento ok, produtos de ótima qualidade dentro do padrão esperado.  /",m. g.,5,nan,3,11095.0,7,"6 anos atrás atendimento ok, produtos de ótima qualidade dentro do padrão esperado. /",85
Patty Oliveira,,24.0,5 anos atrás Frequento a Ofner deste pequena e nunca mudou a qualidade! Um sucesso sempre,patty oliveira,14,nan,3,24.0,4,5 anos atrás frequento a ofner deste pequena e nunca mudou a qualidade! um sucesso sempre,89
Eduardo Macaroni,,22.0,5 anos atrás Recomendo muito o doce Mil Folhas. Massa fresca e feita em casa.,eduardo macaroni,16,nan,3,22.0,4,5 anos atrás recomendo muito o doce mil folhas. massa fresca e feita em casa.,77
ricardo avila,,6.0,5 anos atrás Perdeu a tradição mas continua com boas opções de doces apesar de caros  /,ricardo avila,13,nan,3,6.0,3,5 anos atrás perdeu a tradição mas continua com boas opções de doces apesar de caros /,86
Cláudio Braccialli,,337.0,5 anos atrás Excelente local para um primo café e um bate papo descontraído!,cláudio braccialli,18,nan,3,337.0,5,5 anos atrás excelente local para um primo café e um bate papo descontraído!,76
Nasia Petridis,,,7 anos atrás Muito bem atendida. Pão de queijo integral é uma delícia....  /,nasia petridis,14,nan,3,nan,3,7 anos atrás muito bem atendida. pão de queijo integral é uma delícia.... /,75
Bia Nscmnt,,35.0,8 anos atrás Adoro os produtos da Ofner. Único problema não tem estacionamento é difícil parar  /,bia nscmnt,10,nan,3,35.0,4,8 anos atrás adoro os produtos da ofner. único problema não tem estacionamento é difícil parar /,96
Pablo Ribeiro,,,·1 foto 5 anos atrás Atendimento incrível! Adorei a gentileza e espontaneidade dos atendentes com quem tive contato!,pablo ribeiro,13,nan,3,nan,3,·1 foto 5 anos atrás atendimento incrível! adorei a gentileza e espontaneidade dos atendentes com quem tive contato!,116
Pe Lédio Milanez rcj (Wera Popygwa),,8548.0,"9 anos atrás atendimento bom, mas faltam mesas pois o lugar é pequeno.  /",pe lédio milanez rcj (wera popygwa),35,nan,3,8548.0,6,"9 anos atrás atendimento bom, mas faltam mesas pois o lugar é pequeno. /",72
Olga Moscovici,,136.0,"Editado 5 anos atrás Maravilhoso. Mesas fora, além de.tomar um cafezinho, tem a oportunidade de tomar sol tambem",olga moscovici,14,nan,3,136.0,5,"editado 5 anos atrás maravilhoso. mesas fora, além de.tomar um cafezinho, tem a oportunidade de tomar sol tambem",112
J. Garcia,,4560.0,4 anos atrás Atendimento impecável da Alessandra. O que dizer dos produtos Ofner. Sempre Deliciosos.  /,j. garcia,9,nan,3,4560.0,6,4 anos atrás atendimento impecável da alessandra. o que dizer dos produtos ofner. sempre deliciosos. /,102
Sandra Payeras,,3.0,6 anos atrás Cafeteria sensacional! Um capuccino saboroso e o melhor quiche de manjericão com cottage 🤩🤩🤩🤩🤩🤩🤩  /,sandra payeras,14,nan,3,3.0,3,6 anos atrás cafeteria sensacional! um capuccino saboroso e o melhor quiche de manjericão com cottage 🤩🤩🤩🤩🤩🤩🤩 /,111
Sidney Ushisima,,10.0,"7 anos atrás Ótimos chocolates, bolos e salgados. O que falta é um atendimento mais cortês.  /",sidney ushisima,15,nan,3,10.0,4,"7 anos atrás ótimos chocolates, bolos e salgados. o que falta é um atendimento mais cortês. /",93
enzo storti,,5.0,"4 anos atrás Ótimo atendimento, local aconchegante e Comida de qualidade!  /",enzo storti,11,nan,3,5.0,3,"4 anos atrás ótimo atendimento, local aconchegante e comida de qualidade! /",75
Edison Cordeiro,,,"·1 foto 6 anos atrás Ótimo atendimento , muitas opções e chocolates irresistíveis.  /",edison cordeiro,15,nan,3,nan,3,"·1 foto 6 anos atrás ótimo atendimento , muitas opções e chocolates irresistíveis. /",84
Ramis Aiub Júnior,,18.0,4 anos atrás Excelente local no Bairro das Perdizes . Mas os preços estão fora da realidade.  /,ramis aiub júnior,17,nan,3,18.0,4,4 anos atrás excelente local no bairro das perdizes . mas os preços estão fora da realidade. /,94
Thauan Chaves,,102.0,"4 anos atrás Agradável e sofisticado, ótimo para bater um papo com um café.",thauan chaves,13,nan,3,102.0,5,"4 anos atrás agradável e sofisticado, ótimo para bater um papo com um café.",75
Ricardo Coelho,,,"·1 foto 7 anos atrás Agradavel, bom serviço, doces e salgados saborosos, bom café.  /",ricardo coelho,14,nan,3,nan,3,"·1 foto 7 anos atrás agradavel, bom serviço, doces e salgados saborosos, bom café. /",84
Denis Prado,,58.0,"4 anos atrás No horário q fomos, lotada. Mesas afastadas, mas estava cheio.  /",denis prado,11,nan,3,58.0,4,"4 anos atrás no horário q fomos, lotada. mesas afastadas, mas estava cheio. /",77
Marcos Cintra,,27.0,"8 anos atrás A loja mais acolhedora da rede, acredito que seja a menina dos olhos da Ofner. Sem detalhes, tudo cem por cento.  /",marcos cintra,13,nan,3,27.0,4,"8 anos atrás a loja mais acolhedora da rede, acredito que seja a menina dos olhos da ofner. sem detalhes, tudo cem por cento. /",127
Gabriel Filho,,4.0,"5 anos atrás Caro, atendimento fraco e qualidade não é a mesma de antigamente.",gabriel filho,13,nan,3,4.0,3,"5 anos atrás caro, atendimento fraco e qualidade não é a mesma de antigamente.",78
Jorge Claudio Ribeiro,,990.0,"4 anos atrás Bom atendimento, muitas delícias doces e salgadas",jorge claudio ribeiro,21,nan,3,990.0,5,"4 anos atrás bom atendimento, muitas delícias doces e salgadas",62
Luciana Mammana,,,·1 foto 5 anos atrás È um ponto tradicional no bairro . Està sempre cheio e è muito agradavel !,luciana mammana,15,nan,3,nan,3,·1 foto 5 anos atrás è um ponto tradicional no bairro . està sempre cheio e è muito agradavel !,95
walter caiaffa hehl,,,"7 anos atrás ... estão exagerando no açúcar, porém o local é agradável e o atendimento corretíssimo...  /",walter caiaffa hehl,19,nan,3,nan,3,"7 anos atrás ... estão exagerando no açúcar, porém o local é agradável e o atendimento corretíssimo... /",104
SERJOTA,,,7 anos atrás Comida realmente boa. Valeu a pena as 2 horas de espera  /,serjota,7,nan,3,nan,3,7 anos atrás comida realmente boa. valeu a pena as 2 horas de espera /,70
Átila Boueri,,7530.0,5 anos atrás Chocolates de doces muito bons mas a Coxinha de frango uma delicia,átila boueri,12,nan,3,7530.0,6,5 anos atrás chocolates de doces muito bons mas a coxinha de frango uma delicia,79
João M. Lopes,,,"7 anos atrás Bom atendimento, mas muitos pombos na parte exterior da loja.  /",joão m. lopes,13,nan,3,nan,3,"7 anos atrás bom atendimento, mas muitos pombos na parte exterior da loja. /",76
Lenilda Miranda Da Silva,,,"8 anos atrás Apesar dos preços serem alto, eu gostei muito da loja e do atendimento  /",lenilda miranda da silva,24,nan,3,nan,3,"8 anos atrás apesar dos preços serem alto, eu gostei muito da loja e do atendimento /",85
Tania Aquino,,26.0,5 anos atrás Mto delicia. Café com gostosuras. Vale uma visita.,tania aquino,12,nan,3,26.0,4,5 anos atrás mto delicia. café com gostosuras. vale uma visita.,63
Jose Manuel Brey Campos,,9.0,Editado 5 anos atrás Atendimento cordial. Produtos bons e um pouco caros.  /,jose manuel brey campos,23,nan,3,9.0,3,editado 5 anos atrás atendimento cordial. produtos bons e um pouco caros. /,75
beatriz guimaraes,,65.0,6 anos atrás Quase sempre muito cheio. O atendimento não da muito conta. De resto padrão  /,beatriz guimaraes,17,nan,3,65.0,4,6 anos atrás quase sempre muito cheio. o atendimento não da muito conta. de resto padrão /,90
Guilherme Bonatto,,1590.0,Editado 5 anos atrás Doceria tradicional do bairro. Excelente qualidade. Super recomendado.  /,guilherme bonatto,17,nan,3,1590.0,6,editado 5 anos atrás doceria tradicional do bairro. excelente qualidade. super recomendado. /,93
Jussara Kommers,,,7 anos atrás Atendimento excelente e tudo muito delicioso.  /,jussara kommers,15,nan,3,nan,3,7 anos atrás atendimento excelente e tudo muito delicioso. /,60
Zighi Naftal,,,4 anos atrás Doces continuam excelente com um servico muito fraco pelo preco cobrado,zighi naftal,12,nan,3,nan,3,4 anos atrás doces continuam excelente com um servico muito fraco pelo preco cobrado,84
Jonathan Joo Young Lee,,10.0,"7 anos atrás Frequento para tomar café, mas é caro pelo que oferece.  /",jonathan joo young lee,22,nan,3,10.0,4,"7 anos atrás frequento para tomar café, mas é caro pelo que oferece. /",70
Charles M Susskind,,14.0,10 anos atrás Sorvetes muito ruim. Não vale comer. Melhor um palito da kibon  /,charles m susskind,18,nan,3,14.0,4,10 anos atrás sorvetes muito ruim. não vale comer. melhor um palito da kibon /,78
Erick Itakura,,,8 anos atrás Excelente opção para sobremesas. Boa variedade de doces  /,erick itakura,13,nan,3,nan,3,8 anos atrás excelente opção para sobremesas. boa variedade de doces /,70
Luiz Eduardo Inoue,,,7 anos atrás Ótimo lugar para uma conversa vom um café e doce ou salgado.  /,luiz eduardo inoue,18,nan,3,nan,3,7 anos atrás ótimo lugar para uma conversa vom um café e doce ou salgado. /,75
Maria Silvia Louzada,,,"2 anos atrás Boas opções de doces, bolos, chocolates.  /",maria silvia louzada,20,nan,3,nan,3,"2 anos atrás boas opções de doces, bolos, chocolates. /",55
Eduardo Carvalho,,30.0,"5 anos atrás Torta mil folhas 15,50 é muito fora da realidade brasileira.  /",eduardo carvalho,16,nan,3,30.0,4,"5 anos atrás torta mil folhas 15,50 é muito fora da realidade brasileira. /",75
Tiago P.,,,"9 anos atrás Bom local para café da tarde ou matar sua vontade noturna de comer um ""docinho""  /",tiago p.,8,nan,3,nan,3,"9 anos atrás bom local para café da tarde ou matar sua vontade noturna de comer um ""docinho"" /",94
Pedro Fernandes,,29.0,"5 anos atrás Atendimento, loja, produtos, tudo muito bem cuidado e atenção ao cliente.",pedro fernandes,15,nan,3,29.0,4,"5 anos atrás atendimento, loja, produtos, tudo muito bem cuidado e atenção ao cliente.",86
Fernando Salgado Jr.,,4.0,5 anos atrás Amo o risole da palmito. Aqui tudo é muito bem feito.,fernando salgado jr.,20,nan,3,4.0,3,5 anos atrás amo o risole da palmito. aqui tudo é muito bem feito.,66
Sidnei Buso,,,5 anos atrás Sempre bom saborear seus doces e um bom café. 🙏1,sidnei buso,11,nan,3,nan,3,5 anos atrás sempre bom saborear seus doces e um bom café. 🙏1,61
Sergio Goh,,13.0,4 anos atrás Excelente local para tomar um cafezinho e sorvete.,sergio goh,10,nan,3,13.0,4,4 anos atrás excelente local para tomar um cafezinho e sorvete.,63
Edouard Dubois,,116.0,"7 anos atrás Doces maravilhosos, atendimento agradável mas o preço é salgado  /",edouard dubois,14,nan,3,116.0,5,"7 anos atrás doces maravilhosos, atendimento agradável mas o preço é salgado /",78
Eduardo Toledo,,4.0,4 anos atrás Um pouco cheio demais nesses tempos de pandemia. Espera por mesas...  /,eduardo toledo,14,nan,3,4.0,3,4 anos atrás um pouco cheio demais nesses tempos de pandemia. espera por mesas... /,83
Ivan Carrara Fonseca,,3.0,"4 anos atrás Pelo preço que cobram das coisas, o atendimento é muito ruim.  /",ivan carrara fonseca,20,nan,3,3.0,3,"4 anos atrás pelo preço que cobram das coisas, o atendimento é muito ruim. /",76
Wilson Klain,,,"·1 foto 7 anos atrás Atendimento excelente e doces deliciosos.  /  Jorge Kupfer Local Guide·1.060 avaliações·1486 fotos Editado 3 anos atrás Excelente coxinha, doces apetitosos Precos caros 🙏2  /",wilson klain,12,nan,3,nan,3,"·1 foto 7 anos atrás atendimento excelente e doces deliciosos. / jorge kupfer local guide·1.060 avaliações·1486 fotos editado 3 anos atrás excelente coxinha, doces apetitosos precos caros 🙏2 /",192
Tony Schnitzlein,,,5 anos atrás Minha família é cliente da Ofner desde minha infância e a qualidade segue igual,tony schnitzlein,16,nan,3,nan,3,5 anos atrás minha família é cliente da ofner desde minha infância e a qualidade segue igual,92
